# plane x_D = 2 | grid 13 x 13, spacing 0.25 D | 169 of 169 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp
-1.500,-1.500,1.024,0.007,0.007,-0.032
-1.250,-1.500,1.026,0.008,0.010,-0.036
-1.000,-1.500,1.028,0.008,0.013,-0.039
-0.750,-1.500,1.030,0.008,0.017,-0.042
-0.500,-1.500,1.031,0.006,0.021,-0.045
-0.250,-1.500,1.032,0.003,0.023,-0.047
0.000,-1.500,1.033,0.000,0.023,-0.048
0.250,-1.500,1.033,-0.002,0.023,-0.047
0.500,-1.500,1.032,-0.005,0.021,-0.045
0.750,-1.500,1.030,-0.007,0.018,-0.043
1.000,-1.500,1.028,-0.008,0.014,-0.040
1.250,-1.500,1.027,-0.008,0.011,-0.036
1.500,-1.500,1.025,-0.007,0.007,-0.033
-1.500,-1.250,1.026,0.010,0.008,-0.036
-1.250,-1.250,1.028,0.012,0.012,-0.040
-1.000,-1.250,1.031,0.013,0.017,-0.044
-0.750,-1.250,1.033,0.013,0.024,-0.048
-0.500,-1.250,1.035,0.009,0.030,-0.052
-0.250,-1.250,1.036,0.005,0.033,-0.055
0.000,-1.250,1.037,0.000,0.034,-0.056
0.250,-1.250,1.036,-0.004,0.033,-0.055
0.500,-1.250,1.035,-0.008,0.031,-0.052
0.750,-1.250,1.033,-0.012,0.026,-0.049
1.000,-1.250,1.031,-0.013,0.019,-0.045
1.250,-1.250,1.029,-0.012,0.013,-0.041
1.500,-1.250,1.027,-0.010,0.009,-0.037
-1.500,-1.000,1.028,0.013,0.008,-0.039
-1.250,-1.000,1.031,0.017,0.013,-0.044
-1.000,-1.000,1.033,0.021,0.021,-0.049
-0.750,-1.000,1.035,0.022,0.033,-0.054
-0.500,-1.000,1.035,0.016,0.046,-0.059
-0.250,-1.000,1.028,0.007,0.050,-0.064
0.000,-1.000,1.021,0.001,0.050,-0.066
0.250,-1.000,1.025,-0.005,0.050,-0.064
0.500,-1.000,1.034,-0.014,0.047,-0.060
0.750,-1.000,1.036,-0.022,0.037,-0.055
1.000,-1.000,1.034,-0.022,0.024,-0.050
1.250,-1.000,1.031,-0.018,0.015,-0.045
