# plane y_D = 0 | grid 33 x 13, spacing 0.25 D | 419 of 429 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp
-2.000,-1.500,0.993,-0.002,-0.016,0.031
-1.750,-1.500,0.990,-0.002,-0.023,0.038
-1.500,-1.500,0.990,-0.003,-0.030,0.038
-1.250,-1.500,0.990,-0.002,-0.042,0.038
-1.000,-1.500,0.995,-0.001,-0.054,0.028
-0.750,-1.500,1.004,-0.001,-0.063,0.008
-0.500,-1.500,1.017,-0.001,-0.066,-0.019
-0.250,-1.500,1.030,-0.001,-0.062,-0.046
0.000,-1.500,1.041,-0.001,-0.053,-0.067
0.250,-1.500,1.048,-0.001,-0.041,-0.080
0.500,-1.500,1.051,-0.001,-0.029,-0.086
0.750,-1.500,1.052,-0.001,-0.018,-0.087
1.000,-1.500,1.051,-0.000,-0.007,-0.084
1.250,-1.500,1.048,-0.000,0.003,-0.079
1.500,-1.500,1.044,0.000,0.012,-0.070
1.750,-1.500,1.039,0.000,0.019,-0.060
2.000,-1.500,1.033,0.000,0.023,-0.048
2.250,-1.500,1.027,0.000,0.026,-0.036
2.500,-1.500,1.022,0.000,0.026,-0.025
2.750,-1.500,1.018,0.000,0.026,-0.017
3.000,-1.500,1.014,0.000,0.024,-0.010
3.250,-1.500,1.012,0.000,0.022,-0.005
3.500,-1.500,1.010,0.000,0.020,-0.001
3.750,-1.500,1.009,0.000,0.017,0.001
4.000,-1.500,1.008,0.000,0.015,0.003
4.250,-1.500,1.008,0.000,0.013,0.004
4.500,-1.500,1.007,0.000,0.011,0.004
4.750,-1.500,1.007,0.000,0.010,0.004
5.000,-1.500,1.008,0.000,0.009,0.004
5.250,-1.500,1.008,0.000,0.008,0.004
5.500,-1.500,1.008,0.000,0.007,0.003
5.750,-1.500,1.008,0.000,0.006,0.003
6.000,-1.500,1.008,0.000,0.005,0.003
-2.000,-1.250,0.986,-0.004,-0.018,0.047
-1.750,-1.250,0.984,-0.003,-0.026,0.051
-1.500,-1.250,0.981,-0.004,-0.035,0.055
-1.250,-1.250,0.978,-0.003,-0.052,0.060
-1.000,-1.250,0.981,-0.002,-0.074,0.052
-0.750,-1.250,0.995,-0.002,-0.091,0.023
-0.500,-1.250,1.017,-0.002,-0.099,-0.024
-0.250,-1.250,1.041,-0.002,-0.093,-0.071
0.000,-1.250,1.056,-0.002,-0.076,-0.101
0.250,-1.250,1.064,-0.002,-0.056,-0.114
0.500,-1.250,1.066,-0.001,-0.039,-0.116
0.750,-1.250,1.066,-0.001,-0.023,-0.115
1.000,-1.250,1.064,-0.001,-0.008,-0.111
1.250,-1.250,1.060,-0.000,0.006,-0.103
1.500,-1.250,1.054,0.000,0.019,-0.090
1.750,-1.250,1.046,0.000,0.028,-0.074
2.000,-1.250,1.037,0.000,0.034,-0.056
2.250,-1.250,1.029,0.001,0.036,-0.039
2.500,-1.250,1.021,0.001,0.036,-0.025
2.750,-1.250,1.016,0.001,0.034,-0.013
3.000,-1.250,1.012,0.001,0.031,-0.005
3.250,-1.250,1.009,0.000,0.027,0.001
3.500,-1.250,1.007,0.000,0.024,0.005
3.750,-1.250,1.006,0.000,0.020,0.007
4.000,-1.250,1.005,0.000,0.017,0.008
4.250,-1.250,1.005,0.000,0.015,0.008
4.500,-1.250,1.004,0.000,0.013,0.008
4.750,-1.250,1.004,0.000,0.011,0.007
5.000,-1.250,1.005,0.000,0.009,0.006
5.250,-1.250,1.005,0.000,0.008,0.006
5.500,-1.250,1.005,0.000,0.007,0.005
5.750,-1.250,1.005,-0.000,0.006,0.004
6.000,-1.250,1.005,-0.000,0.005,0.004
-2.000,-1.000,0.986,-0.004,-0.018,0.047
-1.750,-1.000,0.977,-0.003,-0.027,0.066
-1.500,-1.000,0.970,-0.004,-0.039,0.078
-1.250,-1.000,0.960,-0.004,-0.063,0.097
-1.000,-1.000,0.955,-0.003,-0.100,0.099
-0.750,-1.000,0.972,-0.004,-0.139,0.058
-0.500,-1.000,1.014,-0.005,-0.163,-0.034
-0.250,-1.000,1.062,-0.005,-0.148,-0.128
0.000,-1.000,1.085,-0.004,-0.111,-0.167
0.250,-1.000,1.089,-0.003,-0.078,-0.167
0.500,-1.000,1.085,-0.003,-0.053,-0.158
0.750,-1.000,1.080,-0.002,-0.033,-0.152
1.000,-1.000,1.074,-0.002,-0.013,-0.149
1.250,-1.000,1.065,-0.001,0.009,-0.139
1.500,-1.000,1.052,-0.000,0.028,-0.120
1.750,-1.000,1.036,0.000,0.042,-0.093
2.000,-1.000,1.021,0.001,0.050,-0.066
2.250,-1.000,1.008,0.001,0.051,-0.041
2.500,-1.000,0.998,0.001,0.049,-0.021
2.750,-1.000,0.991,0.001,0.045,-0.006
3.000,-1.000,0.986,0.001,0.039,0.003
3.250,-1.000,0.982,0.000,0.033,0.009
3.500,-1.000,0.980,0.000,0.028,0.013
3.750,-1.000,0.979,0.000,0.024,0.014
4.000,-1.000,0.978,0.000,0.020,0.014
4.250,-1.000,0.978,0.000,0.016,0.013
4.500,-1.000,0.977,0.000,0.013,0.012
4.750,-1.000,0.977,-0.000,0.011,0.011
5.000,-1.000,0.976,-0.000,0.009,0.010
5.250,-1.000,0.976,-0.000,0.008,0.008
5.500,-1.000,0.975,-0.000,0.007,0.007
5.750,-1.000,0.975,-0.000,0.006,0.006
6.000,-1.000,0.974,-0.000,0.005,0.005
-2.000,-0.750,0.976,-0.005,-0.015,0.067
-1.750,-0.750,0.966,-0.004,-0.026,0.086
-1.500,-0.750,0.954,-0.006,-0.041,0.107
-1.250,-0.750,0.930,-0.006,-0.071,0.152
-1.000,-0.750,0.904,-0.005,-0.128,0.190
-0.750,-0.750,0.906,-0.008,-0.217,0.153
-0.500,-0.750,1.000,-0.010,-0.309,-0.072
-0.250,-0.750,1.129,-0.010,-0.253,-0.313
0.000,-0.750,1.070,-0.007,-0.140,-0.294
0.250,-0.750,0.949,-0.005,-0.076,-0.238
0.500,-0.750,0.845,-0.004,-0.045,-0.202
0.750,-0.750,0.550,-0.003,-0.027,-0.191
1.000,-0.750,0.743,-0.002,-0.012,-0.196
1.250,-0.750,0.732,-0.001,0.015,-0.187
1.500,-0.750,0.732,0.001,0.040,-0.158
1.750,-0.750,0.740,0.001,0.057,-0.117
2.000,-0.750,0.752,0.002,0.065,-0.076
2.250,-0.750,0.765,0.002,0.065,-0.040
2.500,-0.750,0.778,0.002,0.060,-0.013
2.750,-0.750,0.790,0.002,0.053,0.005
3.000,-0.750,0.801,0.001,0.045,0.016
3.250,-0.750,0.811,0.001,0.037,0.021
3.500,-0.750,0.820,0.001,0.031,0.023
3.750,-0.750,0.827,0.001,0.025,0.023
4.000,-0.750,0.834,0.001,0.020,0.022
4.250,-0.750,0.839,0.000,0.016,0.020
4.500,-0.750,0.844,0.000,0.013,0.017
4.750,-0.750,0.848,0.000,0.011,0.015
5.000,-0.750,0.851,0.000,0.009,0.013
5.250,-0.750,0.854,0.000,0.007,0.011
5.500,-0.750,0.857,0.000,0.006,0.009
5.750,-0.750,0.859,0.000,0.005,0.007
6.000,-0.750,0.862,0.000,0.005,0.006
-2.000,-0.500,0.976,-0.005,-0.015,0.067
-1.750,-0.500,0.957,-0.004,-0.022,0.104
-1.500,-0.500,0.938,-0.007,-0.037,0.142
-1.250,-0.500,0.893,-0.008,-0.068,0.223
-1.000,-0.500,0.820,-0.008,-0.135,0.333
-0.750,-0.500,0.729,-0.013,-0.291,0.404
-0.500,-0.500,0.847,-0.006,-0.962,-0.859
-0.250,-0.500,-0.004,-0.001,0.064,-0.627
0.000,-0.500,0.019,-0.001,0.024,-0.335
0.250,-0.500,0.037,0.000,0.002,-0.250
0.500,-0.500,0.018,-0.001,-0.024,-0.203
0.750,-0.500,0.068,-0.003,-0.083,-0.198
1.000,-0.500,0.106,-0.002,-0.035,-0.217
1.250,-0.500,0.113,0.001,0.002,-0.208
1.500,-0.500,0.137,0.003,0.028,-0.175
1.750,-0.500,0.179,0.004,0.044,-0.127
2.000,-0.500,0.232,0.005,0.053,-0.078
2.250,-0.500,0.290,0.005,0.054,-0.036
2.500,-0.500,0.346,0.005,0.050,-0.005
2.750,-0.500,0.397,0.004,0.044,0.015
3.000,-0.500,0.443,0.004,0.037,0.026
3.250,-0.500,0.482,0.003,0.031,0.031
3.500,-0.500,0.516,0.003,0.025,0.032
3.750,-0.500,0.545,0.003,0.020,0.031
4.000,-0.500,0.569,0.002,0.016,0.028
4.250,-0.500,0.591,0.002,0.013,0.025
4.500,-0.500,0.609,0.002,0.011,0.022
4.750,-0.500,0.625,0.002,0.009,0.019
