# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
-4.750,-4.750,0.070,0.690,-0.000,0.085,0.659,0.000,1.12e-01
-4.750,-4.250,0.020,0.299,-0.000,0.074,0.667,0.000,4.60e-02
-4.750,-2.750,0.300,1.065,-0.002,0.120,0.505,0.000,6.91e-01
-4.750,-1.750,0.750,1.024,-0.002,0.037,0.412,-0.000,4.73e+00
-4.750,-1.250,0.020,0.299,-0.001,0.074,0.703,-0.000,4.60e-02
-4.750,-0.250,0.750,1.023,-0.000,0.037,0.426,-0.000,4.79e+00
-4.750,1.750,0.070,0.691,0.001,0.085,0.690,-0.000,1.12e-01
-4.750,2.250,0.020,0.299,0.001,0.074,0.689,-0.000,4.60e-02
-4.750,2.250,0.070,0.691,0.002,0.085,0.683,-0.000,1.12e-01
-4.750,2.250,0.750,1.024,0.002,0.037,0.405,-0.000,4.70e+00
-4.750,2.750,1.250,1.005,0.001,0.014,0.328,-0.000,1.41e+01
-4.750,0.750,0.070,0.690,0.001,0.085,0.702,-0.000,1.12e-01
-4.750,2.750,0.020,0.299,0.001,0.074,0.682,0.000,4.60e-02
-4.750,3.750,0.070,0.691,0.001,0.085,0.664,0.000,1.12e-01
-4.250,-4.750,0.020,0.106,-0.000,0.003,0.170,-0.000,1.06e-01
-4.250,-4.250,0.020,0.106,-0.000,0.003,0.171,-0.000,1.06e-01
-4.250,-3.250,0.070,0.345,-0.003,0.009,0.190,-0.000,1.35e-01
-4.250,-3.250,0.300,1.063,-0.004,0.080,0.254,-0.000,3.43e-01
-4.250,-1.250,0.300,1.061,-0.004,0.080,0.283,0.000,3.43e-01
-4.250,1.250,0.300,1.061,0.004,0.080,0.283,0.000,3.43e-01
-4.250,1.750,0.300,1.062,0.005,0.080,0.275,0.000,3.43e-01
-4.250,2.750,0.300,1.063,0.005,0.080,0.260,-0.000,3.43e-01
-4.250,3.250,0.020,0.106,0.001,0.003,0.179,-0.000,1.07e-01
-4.250,3.750,0.300,1.064,0.003,0.080,0.248,-0.000,3.43e-01
-4.250,4.750,0.020,0.106,0.000,0.003,0.170,-0.000,1.06e-01
-4.250,3.750,0.020,0.106,0.001,0.003,0.174,-0.000,1.07e-01
-4.250,4.750,0.070,0.346,0.000,0.009,0.180,-0.000,1.35e-01
-3.750,-4.250,0.300,1.017,-0.003,0.034,0.211,0.000,3.00e-01
-3.750,-3.250,0.300,1.016,-0.007,0.035,0.221,0.000,2.99e-01
-3.750,-3.250,0.750,1.088,-0.007,0.033,0.258,0.000,1.29e+01
-3.750,-1.750,0.300,1.010,-0.009,0.037,0.248,0.000,2.99e-01
-3.750,-1.250,0.300,1.009,-0.008,0.036,0.257,-0.000,3.01e-01
-3.750,-0.750,0.300,1.007,-0.005,0.036,0.265,-0.000,3.01e-01
-3.750,0.250,0.300,1.006,0.002,0.034,0.269,-0.000,3.01e-01
-3.750,0.750,2.750,1.002,0.003,0.017,0.274,-0.000,1.27e+02
-3.750,1.750,0.300,1.011,0.009,0.037,0.247,-0.000,2.99e-01
-3.750,2.250,0.300,1.013,0.009,0.036,0.237,0.000,3.00e-01
-3.750,2.750,0.300,1.015,0.008,0.036,0.228,0.000,2.99e-01
-3.750,-4.750,0.300,1.017,-0.001,0.034,0.208,0.000,3.00e-01
-3.750,3.250,0.020,0.063,0.001,-0.000,0.177,0.000,1.67e-01
-3.750,3.750,0.300,1.017,0.005,0.036,0.214,0.000,2.99e-01
-3.250,-2.750,0.300,0.963,-0.013,0.017,0.256,0.000,3.04e-01
-3.250,3.250,0.300,0.966,0.011,0.016,0.245,-0.000,3.04e-01
-3.250,-1.750,0.070,0.211,-0.007,-0.001,0.268,0.000,1.71e-01
-3.250,-0.250,0.070,0.214,-0.001,-0.003,0.295,0.000,1.71e-01
-3.250,-4.250,0.070,0.216,-0.002,-0.001,0.221,-0.000,1.68e-01
-3.250,-2.250,0.020,0.059,-0.003,-0.001,0.253,0.000,1.79e-01
-3.250,1.250,0.300,0.952,0.013,0.018,0.293,0.000,3.06e-01
-2.750,-4.250,0.020,0.064,-0.001,-0.000,0.226,0.000,1.70e-01
-2.750,-4.250,0.300,0.934,-0.006,0.012,0.230,0.000,3.11e-01
-2.750,-2.250,0.300,0.919,-0.023,0.012,0.276,-0.000,3.32e-01
-2.750,-2.250,0.750,1.084,-0.021,0.039,0.256,0.000,4.01e+00
-2.750,-1.750,0.300,0.910,-0.026,0.013,0.295,0.000,3.43e-01
-2.750,1.250,0.300,0.905,0.022,0.013,0.310,-0.000,3.33e-01
-2.750,2.250,0.300,0.919,0.022,0.011,0.275,0.000,3.32e-01
-2.750,2.750,0.300,0.924,0.020,0.010,0.260,0.000,3.31e-01
-2.750,4.250,0.300,0.933,0.006,0.012,0.230,0.000,3.11e-01
-2.750,1.750,0.070,0.229,0.012,-0.001,0.281,-0.000,1.72e-01
-2.750,4.250,0.020,0.064,0.001,-0.000,0.226,0.000,1.70e-01
-2.625,-0.625,0.175,0.711,-0.015,0.015,0.363,0.000,2.06e-01
-2.375,0.375,0.375,0.927,0.016,0.040,0.340,-0.000,5.93e-01
-2.375,2.625,0.375,0.964,0.027,0.017,0.244,0.000,6.78e-01
-2.375,2.625,2.875,1.015,0.017,0.021,0.229,-0.000,3.70e+01
-2.375,-2.625,0.175,0.737,-0.024,0.007,0.257,-0.000,2.02e-01
-2.375,-1.375,0.175,0.676,-0.039,0.017,0.312,-0.000,2.12e-01
-2.375,2.625,0.175,0.737,0.023,0.007,0.258,0.000,2.02e-01
-2.250,-4.250,0.020,0.065,-0.001,-0.000,0.206,-0.000,1.69e-01
-2.250,-4.250,0.300,0.905,-0.008,0.013,0.209,-0.000,3.16e-01
-2.250,-3.250,0.300,0.900,-0.024,0.015,0.224,-0.000,3.28e-01
-2.250,3.750,1.750,1.042,0.012,0.024,0.210,0.000,1.27e+01
-2.250,4.250,0.300,0.905,0.008,0.013,0.209,-0.000,3.16e-01
-2.187,2.313,0.070,0.291,0.017,-0.003,0.266,0.000,1.31e-01
-1.937,-1.188,0.175,0.590,-0.043,0.016,0.285,0.000,2.06e-01
