# plane x_D = 4 | grid 13 x 13, spacing 0.25 D | 169 of 169 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp
-1.500,-1.500,1.010,0.007,0.007,-0.004
-1.250,-1.500,1.010,0.007,0.009,-0.003
-1.000,-1.500,1.009,0.007,0.011,-0.001
-0.750,-1.500,1.009,0.006,0.013,0.000
-0.500,-1.500,1.009,0.004,0.014,0.002
-0.250,-1.500,1.008,0.002,0.015,0.003
0.000,-1.500,1.008,0.000,0.015,0.003
0.250,-1.500,1.008,-0.002,0.015,0.003
0.500,-1.500,1.008,-0.004,0.014,0.002
0.750,-1.500,1.009,-0.005,0.013,0.001
1.000,-1.500,1.009,-0.007,0.011,-0.001
1.250,-1.500,1.010,-0.007,0.009,-0.002
1.500,-1.500,1.010,-0.007,0.007,-0.004
-1.500,-1.250,1.010,0.009,0.007,-0.003
-1.250,-1.250,1.009,0.009,0.009,-0.001
-1.000,-1.250,1.009,0.009,0.012,0.001
-0.750,-1.250,1.008,0.008,0.015,0.004
-0.500,-1.250,1.007,0.005,0.017,0.006
-0.250,-1.250,1.006,0.002,0.018,0.007
0.000,-1.250,1.005,0.000,0.017,0.008
0.250,-1.250,1.005,-0.002,0.018,0.007
0.500,-1.250,1.006,-0.005,0.017,0.006
0.750,-1.250,1.008,-0.007,0.016,0.004
1.000,-1.250,1.008,-0.009,0.013,0.002
1.250,-1.250,1.009,-0.009,0.010,-0.000
1.500,-1.250,1.010,-0.009,0.008,-0.002
-1.500,-1.000,1.009,0.011,0.007,-0.001
-1.250,-1.000,1.009,0.012,0.009,0.001
-1.000,-1.000,1.007,0.013,0.013,0.004
-0.750,-1.000,1.005,0.012,0.018,0.008
-0.500,-1.000,0.999,0.008,0.022,0.011
-0.250,-1.000,0.987,0.003,0.021,0.013
0.000,-1.000,0.978,0.000,0.020,0.014
0.250,-1.000,0.984,-0.002,0.021,0.013
0.500,-1.000,0.997,-0.006,0.022,0.011
0.750,-1.000,1.004,-0.011,0.019,0.008
1.000,-1.000,1.007,-0.013,0.014,0.005
1.250,-1.000,1.008,-0.012,0.010,0.002
1.500,-1.000,1.009,-0.011,0.007,-0.001
-1.500,-0.750,1.009,0.013,0.006,0.000
-1.250,-0.750,1.008,0.015,0.008,0.004
-1.000,-0.750,1.005,0.018,0.012,0.008
-0.750,-0.750,0.996,0.019,0.019,0.012
-0.500,-0.750,0.963,0.016,0.028,0.017
-0.250,-0.750,0.892,0.007,0.027,0.020
0.000,-0.750,0.834,0.001,0.020,0.022
0.250,-0.750,0.872,-0.005,0.025,0.021
0.500,-0.750,0.949,-0.014,0.029,0.018
0.750,-0.750,0.991,-0.019,0.022,0.013
1.000,-0.750,1.004,-0.018,0.013,0.009
1.250,-0.750,1.007,-0.016,0.009,0.004
1.500,-0.750,1.009,-0.013,0.006,0.001
-1.500,-0.500,1.009,0.014,0.004,0.002
-1.250,-0.500,1.007,0.017,0.005,0.006
-1.000,-0.500,0.999,0.022,0.008,0.011
-0.750,-0.500,0.963,0.028,0.016,0.017
-0.500,-0.500,0.874,0.031,0.031,0.023
-0.250,-0.500,0.710,0.021,0.030,0.027
0.000,-0.500,0.569,0.002,0.016,0.028
0.250,-0.500,0.663,-0.016,0.026,0.028
0.500,-0.500,0.840,-0.030,0.033,0.024
0.750,-0.500,0.947,-0.030,0.019,0.018
1.000,-0.500,0.994,-0.023,0.009,0.012
1.250,-0.500,1.006,-0.018,0.006,0.007
1.500,-0.500,1.008,-0.015,0.004,0.002
-1.500,-0.250,1.008,0.015,0.002,0.003
-1.250,-0.250,1.006,0.018,0.002,0.007
-1.000,-0.250,0.987,0.021,0.003,0.013
-0.750,-0.250,0.892,0.027,0.007,0.020
-0.500,-0.250,0.710,0.030,0.021,0.027
-0.250,-0.250,0.510,0.025,0.025,0.031
0.000,-0.250,0.363,0.004,0.013,0.033
0.250,-0.250,0.461,-0.022,0.022,0.032
0.500,-0.250,0.662,-0.030,0.024,0.028
0.750,-0.250,0.851,-0.028,0.009,0.022
1.000,-0.250,0.974,-0.023,0.003,0.015
1.250,-0.250,1.004,-0.018,0.002,0.008
1.500,-0.250,1.008,-0.015,0.002,0.004
-1.500,0.000,1.008,0.015,0.000,0.003
-1.250,0.000,1.005,0.017,0.000,0.008
-1.000,0.000,0.978,0.020,0.000,0.014
-0.750,0.000,0.833,0.020,0.000,0.022
-0.500,0.000,0.569,0.016,0.002,0.028
-0.250,0.000,0.363,0.013,0.004,0.033
0.000,0.000,0.263,0.002,0.002,0.034
0.250,0.000,0.327,-0.012,0.003,0.033
0.500,0.000,0.509,-0.015,0.003,0.030
0.750,0.000,0.772,-0.019,0.001,0.024
1.000,0.000,0.958,-0.020,0.000,0.016
1.250,0.000,1.003,-0.018,0.000,0.009
1.500,0.000,1.008,-0.016,0.000,0.004
-1.500,0.250,1.008,0.015,-0.002,0.003
-1.250,0.250,1.005,0.018,-0.002,0.007
-1.000,0.250,0.984,0.021,-0.002,0.013
-0.750,0.250,0.872,0.025,-0.005,0.021
-0.500,0.250,0.663,0.026,-0.016,0.028
-0.250,0.250,0.461,0.022,-0.021,0.032
0.000,0.250,0.327,0.003,-0.012,0.033
