# plane x_cr = 0.30 | grid 33 x 13, y [-0.2,0.2] z [-0.02,0.1], bin-averaged from 6573 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.194,-0.015,0.911,-0.091,0.371,0.025,-0.065,-6.134
-0.182,-0.015,0.895,-0.120,0.388,0.034,-0.140,-11.540
-0.170,-0.015,0.879,-0.149,0.403,0.042,-0.162,-20.208
-0.158,-0.015,0.854,-0.198,0.431,0.044,-0.378,-43.511
-0.145,-0.015,0.818,-0.270,0.409,0.087,-0.360,-79.301
-0.133,-0.015,0.758,-0.394,0.381,0.120,-0.010,-200.437
-0.121,-0.015,0.504,-0.364,0.217,0.174,-541.411,-102.643
-0.109,-0.015,0.467,-0.287,0.110,0.250,-460.801,-65.462
0.109,-0.015,0.468,0.288,0.110,0.250,458.300,-67.499
0.121,-0.015,0.504,0.364,0.217,0.174,540.603,-101.096
0.133,-0.015,0.758,0.394,0.381,0.119,0.001,-200.122
0.145,-0.015,0.818,0.270,0.409,0.087,0.359,-79.268
0.158,-0.015,0.854,0.198,0.431,0.044,0.379,-43.494
0.170,-0.015,0.879,0.149,0.403,0.042,0.162,-20.200
0.182,-0.015,0.895,0.120,0.388,0.034,0.140,-11.536
0.194,-0.015,0.906,0.100,0.377,0.027,0.089,-7.347
-0.194,-0.006,0.918,-0.079,0.393,-0.003,-0.033,-7.202
-0.182,-0.006,0.904,-0.104,0.420,-0.004,0.043,-14.379
-0.170,-0.006,0.890,-0.130,0.444,-0.005,0.057,-26.410
-0.158,-0.006,0.868,-0.173,0.495,-0.028,-0.274,-59.991
-0.145,-0.006,0.823,-0.264,0.540,-0.044,-0.665,-206.211
-0.133,-0.006,0.700,-0.521,0.595,-0.134,-3.293,-1927.612
-0.121,-0.006,0.411,-0.431,0.359,-0.045,-1272.548,1284.873
0.121,-0.006,0.413,0.427,0.349,-0.032,1217.346,400.047
0.133,-0.006,0.700,0.522,0.590,-0.128,2.099,-1728.953
0.145,-0.006,0.823,0.265,0.540,-0.044,0.681,-206.343
0.158,-0.006,0.868,0.173,0.495,-0.028,0.273,-59.967
0.170,-0.006,0.890,0.131,0.444,-0.005,-0.057,-26.398
0.182,-0.006,0.904,0.104,0.420,-0.004,-0.043,-14.374
0.194,-0.006,0.914,0.086,0.401,-0.003,0.031,-8.528
-0.194,0.003,0.929,-0.059,0.407,-0.033,0.043,-7.600
-0.182,0.003,0.917,-0.079,0.445,-0.046,0.213,-16.070
-0.170,0.003,0.906,-0.099,0.479,-0.061,0.260,-30.327
-0.158,0.003,0.893,-0.123,0.546,-0.112,0.044,-68.489
-0.145,0.003,0.861,-0.185,0.657,-0.215,0.803,-323.355
-0.133,0.003,0.552,-0.422,0.621,-0.712,-838.614,-443071.529
-0.121,0.003,0.787,-0.380,-0.022,-1.163,580.896,-26674.625
-0.109,0.003,0.779,-0.237,0.053,-1.348,115.216,-225.204
-0.097,0.003,0.566,-0.803,0.094,-1.571,689.243,-3520.127
-0.085,0.003,0.593,-1.161,-0.003,-1.775,1781.471,-1113.350
-0.073,0.003,0.652,-1.006,-0.050,-1.278,1770.713,-1002.876
-0.061,0.003,0.745,-0.618,-0.055,-0.585,1076.887,-1098.979
-0.048,0.003,0.797,-0.297,-0.035,-0.305,472.428,-459.843
-0.036,0.003,0.804,-0.147,-0.020,-0.277,208.354,-156.384
-0.024,0.003,0.783,-0.051,-0.008,-0.292,58.190,-35.917
-0.012,0.003,0.747,-0.010,-0.002,-0.305,3.788,-5.074
0.000,0.003,0.722,0.000,0.001,-0.309,0.758,-2.051
0.012,0.003,0.751,0.011,-0.002,-0.305,-5.937,-6.131
0.024,0.003,0.781,0.053,-0.008,-0.293,-61.031,-33.920
0.036,0.003,0.801,0.145,-0.019,-0.278,-204.760,-147.849
0.048,0.003,0.797,0.293,-0.034,-0.305,-463.641,-447.537
0.061,0.003,0.747,0.611,-0.055,-0.579,-1062.842,-1092.809
0.073,0.003,0.654,1.003,-0.050,-1.273,-1768.270,-1012.618
0.085,0.003,0.595,1.162,-0.003,-1.779,-1776.283,-1109.523
0.097,0.003,0.568,0.799,0.095,-1.567,-672.300,-3498.228
0.109,0.003,0.797,0.225,0.046,-1.352,-116.301,-178.990
0.121,0.003,0.757,0.436,-0.018,-1.164,-664.572,-33181.273
0.133,0.003,0.531,0.440,0.645,-0.654,703.791,-612556.108
0.145,0.003,0.862,0.185,0.657,-0.216,-0.764,-322.855
0.158,0.003,0.893,0.123,0.546,-0.112,-0.045,-68.391
0.170,0.003,0.906,0.099,0.479,-0.061,-0.259,-30.312
0.182,0.003,0.917,0.079,0.445,-0.046,-0.213,-16.069
0.194,0.003,0.925,0.065,0.419,-0.037,-0.061,-9.371
-0.194,0.012,0.940,-0.038,0.421,-0.063,0.087,-8.128
-0.182,0.012,0.934,-0.048,0.462,-0.088,0.207,-16.829
-0.170,0.012,0.932,-0.048,0.517,-0.139,0.168,-34.964
-0.158,0.012,0.927,-0.055,0.574,-0.194,0.066,-65.331
-0.145,0.012,0.923,-0.058,0.697,-0.347,0.445,-205.829
-0.133,0.012,0.937,-0.036,0.802,-0.731,-57.462,900.423
-0.121,0.012,0.986,-0.290,0.336,-0.908,-77.272,-958.255
-0.109,0.012,0.955,-0.929,0.436,-1.388,-0.515,-1339.938
-0.097,0.012,0.984,-1.112,0.431,-2.160,-81.714,1719.971
-0.085,0.012,1.021,-1.168,-0.065,-2.381,-94.324,2484.095
-0.073,0.012,1.019,-0.967,-0.390,-1.585,-61.070,18.422
-0.061,0.012,1.058,-0.592,-0.402,-0.728,-21.198,-1016.864
-0.048,0.012,1.112,-0.305,-0.253,-0.365,0.094,-498.007
-0.036,0.012,1.138,-0.174,-0.146,-0.310,3.962,-152.404
-0.024,0.012,1.153,-0.085,-0.070,-0.307,4.861,-29.426
-0.012,0.012,1.157,-0.033,-0.028,-0.311,4.306,-4.828
0.000,0.012,1.154,0.000,-0.011,-0.313,-0.169,-4.277
0.012,0.012,1.158,0.032,-0.029,-0.311,-4.234,-4.660
0.024,0.012,1.154,0.084,-0.069,-0.307,-4.590,-30.081
0.036,0.012,1.139,0.173,-0.143,-0.310,-3.850,-150.555
0.048,0.012,1.114,0.302,-0.250,-0.364,-0.137,-488.667
0.061,0.012,1.060,0.587,-0.401,-0.719,20.504,-1016.138
0.073,0.012,1.021,0.965,-0.391,-1.576,59.779,-25.979
0.085,0.012,1.020,1.163,-0.086,-2.380,94.631,2461.044
0.097,0.012,0.974,1.132,0.412,-2.172,82.667,1848.015
0.109,0.012,0.954,0.921,0.399,-1.374,-4.423,-1234.695
0.121,0.012,0.981,0.286,0.344,-0.898,71.324,-770.176
0.133,0.012,0.933,0.038,0.811,-0.677,39.368,513.714
0.145,0.012,0.924,0.058,0.697,-0.346,-0.408,-201.835
0.158,0.012,0.927,0.055,0.574,-0.194,-0.061,-65.106
0.170,0.012,0.932,0.049,0.517,-0.139,-0.167,-34.933
0.182,0.012,0.934,0.048,0.462,-0.088,-0.207,-16.830
0.194,0.012,0.938,0.041,0.432,-0.070,-0.102,-9.775
-0.194,0.022,0.954,-0.014,0.423,-0.090,0.035,-7.891
-0.182,0.022,0.952,-0.014,0.468,-0.126,0.098,-16.334
-0.170,0.022,0.958,0.001,0.517,-0.186,0.082,-30.823
-0.158,0.022,0.961,0.013,0.571,-0.251,0.053,-52.929
-0.145,0.022,0.973,0.046,0.667,-0.397,0.243,-119.807
-0.133,0.022,0.996,0.109,0.786,-0.631,-6.878,-110.159
-0.121,0.022,1.014,0.044,0.708,-0.872,-47.546,-169.103
-0.109,0.022,1.175,-0.280,0.667,-1.475,-63.009,-322.060
-0.097,0.022,1.274,-0.402,0.536,-2.464,-117.490,3269.570
-0.085,0.022,1.298,-0.588,-0.054,-2.797,-138.772,4822.519
-0.073,0.022,1.274,-0.295,-0.584,-1.830,-85.756,1259.610
-0.061,0.022,1.170,-0.212,-0.579,-0.903,-28.171,-475.828
-0.048,0.022,1.152,-0.140,-0.361,-0.451,1.696,-341.619
-0.036,0.022,1.151,-0.107,-0.202,-0.356,4.433,-99.752
-0.024,0.022,1.151,-0.072,-0.109,-0.330,2.957,-25.054
-0.012,0.022,1.150,-0.038,-0.058,-0.322,1.813,-9.970
0.000,0.022,1.150,0.000,-0.041,-0.320,0.017,-9.288
0.012,0.022,1.150,0.038,-0.058,-0.322,-1.864,-9.277
0.024,0.022,1.151,0.078,-0.115,-0.330,-3.292,-27.829
0.036,0.022,1.151,0.107,-0.208,-0.359,-4.483,-103.635
0.048,0.022,1.152,0.140,-0.357,-0.449,-2.010,-335.290
0.061,0.022,1.170,0.201,-0.575,-0.870,25.587,-499.434
0.073,0.022,1.269,0.323,-0.575,-1.855,87.587,1363.594
0.085,0.022,1.293,0.596,-0.072,-2.787,136.574,4710.464
0.097,0.022,1.279,0.402,0.532,-2.482,118.397,3373.121
0.109,0.022,1.175,0.283,0.676,-1.486,62.944,-281.650
0.121,0.022,1.016,-0.037,0.705,-0.870,45.742,-231.073
0.133,0.022,0.996,-0.108,0.785,-0.632,7.526,-96.622
0.145,0.022,0.973,-0.045,0.667,-0.398,-0.255,-119.955
0.158,0.022,0.961,-0.013,0.571,-0.252,-0.053,-52.797
0.170,0.022,0.958,-0.001,0.517,-0.186,-0.082,-30.802
0.182,0.022,0.952,0.014,0.468,-0.126,-0.098,-16.336
0.194,0.022,0.953,0.014,0.437,-0.101,-0.019,-9.729
-0.194,0.031,0.967,0.010,0.424,-0.116,0.001,-7.713
-0.182,0.031,0.970,0.020,0.463,-0.157,-0.006,-14.581
-0.170,0.031,0.981,0.044,0.502,-0.216,-0.096,-25.014
-0.158,0.031,0.989,0.068,0.547,-0.285,0.151,-41.386
-0.145,0.031,1.009,0.118,0.615,-0.414,0.047,-81.964
-0.133,0.031,1.040,0.202,0.700,-0.613,0.602,-175.146
-0.121,0.031,1.070,0.300,0.762,-0.879,-13.863,-104.459
-0.109,0.031,1.206,0.320,0.698,-1.436,-55.467,465.082
-0.097,0.031,1.424,0.359,0.461,-2.139,-89.214,1812.151
-0.085,0.031,1.486,0.389,-0.086,-2.255,-98.568,2362.954
-0.073,0.031,1.355,0.288,-0.512,-1.558,-57.697,431.804
-0.061,0.031,1.232,0.123,-0.512,-0.838,-13.870,-432.813
-0.048,0.031,1.181,0.003,-0.334,-0.487,3.112,-245.361
-0.036,0.031,1.164,-0.034,-0.209,-0.391,2.701,-83.162
-0.024,0.031,1.155,-0.036,-0.122,-0.348,0.890,-23.566
-0.012,0.031,1.152,-0.021,-0.078,-0.333,0.366,-7.220
0.000,0.031,1.151,0.000,-0.060,-0.327,0.012,-5.490
0.012,0.031,1.152,0.021,-0.077,-0.333,-0.367,-7.094
0.024,0.031,1.155,0.036,-0.122,-0.348,-0.894,-23.060
0.036,0.031,1.164,0.034,-0.207,-0.391,-2.645,-81.110
0.048,0.031,1.181,0.000,-0.332,-0.485,-3.314,-241.820
0.061,0.031,1.230,-0.119,-0.513,-0.833,13.731,-433.370
0.073,0.031,1.352,-0.285,-0.512,-1.550,57.802,432.371
0.085,0.031,1.484,-0.389,-0.090,-2.249,97.892,2326.933
0.097,0.031,1.425,-0.360,0.453,-2.148,89.735,1839.748
0.109,0.031,1.205,-0.315,0.700,-1.447,56.148,489.108
0.121,0.031,1.070,-0.295,0.763,-0.881,14.379,-102.356
0.133,0.031,1.040,-0.201,0.701,-0.613,-0.565,-173.016
0.145,0.031,1.009,-0.117,0.616,-0.414,-0.058,-81.920
0.158,0.031,0.989,-0.067,0.547,-0.285,-0.152,-41.364
0.170,0.031,0.981,-0.043,0.502,-0.216,0.095,-25.018
0.182,0.031,0.970,-0.020,0.463,-0.157,0.005,-14.587
0.194,0.031,0.968,-0.012,0.435,-0.127,0.016,-9.094
-0.194,0.040,0.980,0.031,0.414,-0.133,-0.001,-6.674
-0.182,0.040,0.987,0.049,0.450,-0.179,-0.037,-12.494
-0.170,0.040,0.996,0.071,0.484,-0.231,-0.125,-20.511
