# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.339,-0.023,0.906,-0.116,0.357,0.039,-0.031,-4.208
-0.318,-0.023,0.875,-0.177,0.374,0.062,-0.103,-11.395
-0.297,-0.023,0.839,-0.253,0.383,0.084,-0.111,-32.069
-0.276,-0.023,0.800,-0.334,0.326,0.138,-0.067,-59.777
-0.255,-0.023,0.570,-0.332,0.150,0.203,-344.302,-53.201
-0.233,-0.023,0.601,-0.227,0.021,0.246,-260.683,-1592.352
-0.212,-0.023,0.596,-0.142,0.006,0.229,-121.329,-3.030
-0.191,-0.023,0.570,-0.101,0.004,0.214,-91.612,-2.322
-0.170,-0.023,0.561,-0.078,0.002,0.203,-69.558,-1.168
-0.148,-0.023,0.555,-0.059,0.002,0.193,-51.087,2.245
-0.127,-0.023,0.550,-0.047,0.002,0.187,-40.169,10.292
-0.106,-0.023,0.547,-0.038,0.001,0.182,-31.376,7.443
-0.085,-0.023,0.541,-0.028,0.001,0.177,-22.731,10.766
-0.064,-0.023,0.531,-0.020,0.001,0.174,-16.836,7.172
-0.042,-0.023,0.533,-0.014,0.001,0.172,-12.291,9.714
-0.021,-0.023,0.541,-0.007,0.001,0.171,-6.002,7.262
0.000,-0.023,0.540,0.000,0.001,0.170,0.063,7.111
0.021,-0.023,0.540,0.007,0.001,0.171,6.019,10.494
0.042,-0.023,0.539,0.013,0.001,0.172,11.312,4.699
0.064,-0.023,0.537,0.020,0.001,0.174,16.307,1.399
0.085,-0.023,0.526,0.027,0.001,0.177,23.770,11.080
0.106,-0.023,0.546,0.037,0.001,0.182,31.180,10.448
0.127,-0.023,0.551,0.049,0.002,0.187,41.260,6.806
0.148,-0.023,0.555,0.060,0.002,0.194,52.322,0.977
0.170,-0.023,0.560,0.076,0.002,0.202,67.169,-1.040
0.191,-0.023,0.572,0.100,0.003,0.213,88.924,-1.587
0.212,-0.023,0.601,0.141,0.006,0.228,116.457,-2.258
0.233,-0.023,0.594,0.219,0.018,0.245,256.139,-1588.732
0.255,-0.023,0.571,0.332,0.149,0.204,342.992,-57.432
0.276,-0.023,0.800,0.334,0.325,0.138,0.067,-59.706
0.297,-0.023,0.838,0.253,0.382,0.085,0.111,-32.059
0.318,-0.023,0.875,0.177,0.374,0.062,0.103,-11.396
0.339,-0.023,0.897,0.134,0.363,0.046,0.034,-5.767
-0.339,-0.008,0.911,-0.103,0.396,0.002,-0.029,-6.107
-0.318,-0.008,0.886,-0.153,0.442,-0.004,-0.031,-17.316
-0.297,-0.008,0.848,-0.232,0.492,-0.018,-0.087,-58.885
-0.276,-0.008,0.619,-0.441,0.474,-0.079,-543.170,781.467
-0.255,-0.008,0.431,-0.382,0.267,0.061,-891.554,-147.878
0.255,-0.008,0.432,0.383,0.268,0.062,881.447,-99.931
0.276,-0.008,0.618,0.437,0.470,-0.075,537.299,101.236
0.297,-0.008,0.848,0.232,0.492,-0.017,0.088,-58.968
0.318,-0.008,0.886,0.153,0.442,-0.004,0.031,-17.334
0.339,-0.008,0.903,0.119,0.411,0.002,0.041,-8.191
-0.339,0.007,0.925,-0.073,0.413,-0.032,0.008,-5.837
-0.318,0.007,0.904,-0.112,0.494,-0.075,-0.065,-20.777
-0.297,0.007,0.881,-0.161,0.576,-0.136,0.028,-71.365
-0.276,0.007,0.609,-0.364,0.464,-0.563,-77.848,-139640.071
-0.255,0.007,0.846,-0.326,-0.086,-0.837,349.720,-843.786
-0.233,0.007,0.876,-0.063,0.044,-1.130,20.858,-446.917
-0.212,0.007,0.578,-0.351,0.083,-1.024,234.698,-569.452
-0.191,0.007,0.509,-0.883,0.071,-1.335,791.338,-1422.222
-0.170,0.007,0.550,-1.075,-0.027,-1.364,1425.834,-255.675
-0.148,0.007,0.644,-0.782,-0.059,-0.692,1075.536,-414.501
-0.127,0.007,0.718,-0.451,-0.045,-0.281,584.844,-237.489
-0.106,0.007,0.743,-0.228,-0.023,-0.170,260.398,-64.828
-0.085,0.007,0.737,-0.111,-0.011,-0.164,110.784,-14.900
-0.064,0.007,0.723,-0.050,-0.006,-0.171,41.408,-4.264
-0.042,0.007,0.707,-0.018,-0.003,-0.177,8.369,-1.612
-0.021,0.007,0.674,0.000,-0.001,-0.181,-6.787,-0.115
0.000,0.007,0.627,0.000,0.002,-0.182,0.048,-0.386
