# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-3.000,0.000,0.000,0.000,0.000,0.032,0.000
-2.750,0.000,0.000,0.000,0.000,0.033,0.000
-2.500,0.000,0.000,0.000,0.000,0.035,0.000
-2.250,0.000,0.000,0.000,0.000,0.038,0.000
-2.000,0.000,0.000,0.000,0.000,0.041,0.000
-1.750,0.000,0.000,0.000,0.000,0.046,0.000
-1.500,0.000,0.000,0.000,0.000,0.052,0.000
-1.250,0.000,0.000,0.000,0.000,0.059,0.000
-1.000,0.000,0.000,0.000,0.000,0.067,0.001
-0.750,0.000,0.000,0.000,0.000,0.076,0.002
-0.500,0.000,0.000,0.000,0.000,0.086,0.003
-0.250,0.000,0.000,0.000,0.000,0.100,0.004
0.000,0.000,0.000,0.000,0.000,0.108,0.005
0.250,0.000,0.000,0.000,0.000,0.100,0.004
0.500,0.000,0.000,0.000,0.000,0.086,0.003
0.750,0.000,0.000,0.000,0.000,0.075,0.002
1.000,0.000,0.000,0.000,0.000,0.067,0.001
1.250,0.000,0.000,0.000,0.000,0.059,0.000
1.500,0.000,0.000,0.000,0.000,0.052,0.000
1.750,0.000,0.000,0.000,0.000,0.046,0.000
2.000,0.000,0.000,0.000,0.000,0.041,0.000
2.250,0.000,0.000,0.000,0.000,0.037,0.000
2.500,0.000,0.000,0.000,0.000,0.035,0.000
2.750,0.000,0.000,0.000,0.000,0.033,0.000
3.000,0.000,0.000,0.000,0.000,0.032,0.000
-3.000,0.250,0.501,0.053,0.006,0.034,0.000
-2.750,0.250,0.453,0.054,0.007,0.034,0.000
-2.500,0.250,0.414,0.056,0.006,0.036,0.000
-2.250,0.250,0.398,0.056,0.006,0.038,0.000
-2.000,0.250,0.377,0.054,0.007,0.042,0.000
-1.750,0.250,0.351,0.048,0.009,0.047,0.000
-1.500,0.250,0.319,0.039,0.010,0.054,0.000
-1.250,0.250,0.281,0.026,0.011,0.061,0.000
-1.000,0.250,0.236,0.010,0.010,0.069,0.001
-0.750,0.250,0.197,-0.009,0.008,0.077,0.001
-0.500,0.250,0.191,-0.027,-0.000,0.085,0.003
-0.250,0.250,0.225,-0.028,-0.024,0.096,0.004
0.000,0.250,0.250,0.000,-0.041,0.102,0.005
0.250,0.250,0.225,0.028,-0.023,0.096,0.004
0.500,0.250,0.191,0.027,-0.000,0.085,0.003
0.750,0.250,0.199,0.009,0.008,0.076,0.001
1.000,0.250,0.237,-0.010,0.010,0.068,0.001
1.250,0.250,0.281,-0.027,0.011,0.060,0.000
1.500,0.250,0.319,-0.040,0.010,0.053,0.000
1.750,0.250,0.351,-0.049,0.009,0.047,0.000
2.000,0.250,0.377,-0.054,0.007,0.042,0.000
2.250,0.250,0.398,-0.056,0.006,0.038,0.000
2.500,0.250,0.414,-0.056,0.006,0.036,0.000
2.750,0.250,0.453,-0.054,0.007,0.034,0.000
3.000,0.250,0.501,-0.053,0.006,0.034,0.000
-3.000,0.500,0.801,0.060,0.010,0.032,0.000
-2.750,0.500,0.814,0.075,0.012,0.033,0.000
-2.500,0.500,0.814,0.088,0.014,0.035,0.000
-2.250,0.500,0.799,0.097,0.015,0.038,0.000
-2.000,0.500,0.777,0.104,0.019,0.042,0.000
-1.750,0.500,0.746,0.108,0.024,0.047,0.000
-1.500,0.500,0.704,0.108,0.030,0.054,0.000
-1.250,0.500,0.647,0.102,0.035,0.062,0.000
-1.000,0.500,0.571,0.088,0.038,0.070,0.000
-0.750,0.500,0.487,0.065,0.033,0.079,0.001
-0.500,0.500,0.433,0.036,0.011,0.087,0.002
-0.250,0.500,0.449,0.010,-0.043,0.098,0.004
0.000,0.500,0.474,-0.001,-0.084,0.105,0.007
0.250,0.500,0.450,-0.012,-0.042,0.098,0.004
0.500,0.500,0.437,-0.038,0.011,0.087,0.002
0.750,0.500,0.490,-0.066,0.033,0.078,0.001
1.000,0.500,0.573,-0.088,0.038,0.070,0.000
1.250,0.500,0.648,-0.102,0.035,0.061,0.000
1.500,0.500,0.704,-0.108,0.030,0.053,0.000
1.750,0.500,0.746,-0.108,0.024,0.047,0.000
2.000,0.500,0.776,-0.104,0.019,0.041,0.000
2.250,0.500,0.798,-0.097,0.015,0.038,0.000
2.500,0.500,0.813,-0.088,0.014,0.035,0.000
2.750,0.500,0.814,-0.075,0.012,0.033,0.000
3.000,0.500,0.801,-0.060,0.009,0.032,0.000
-3.000,0.750,1.041,0.064,0.010,0.031,0.000
-2.750,0.750,1.045,0.074,0.011,0.031,0.000
-2.500,0.750,1.050,0.088,0.014,0.033,0.000
-2.250,0.750,1.044,0.101,0.017,0.036,0.000
-2.000,0.750,1.034,0.114,0.023,0.039,0.000
-1.750,0.750,1.019,0.127,0.031,0.045,0.000
-1.500,0.750,0.996,0.140,0.042,0.052,0.000
-1.250,0.750,0.958,0.149,0.054,0.061,0.000
-1.000,0.750,0.900,0.153,0.065,0.072,0.000
-0.750,0.750,0.817,0.146,0.067,0.084,0.001
-0.500,0.750,0.726,0.118,0.046,0.098,0.002
-0.250,0.750,0.664,0.066,-0.015,0.116,0.005
0.000,0.750,0.640,-0.002,-0.069,0.126,0.009
0.250,0.750,0.669,-0.069,-0.013,0.115,0.005
0.500,0.750,0.731,-0.120,0.047,0.098,0.002
0.750,0.750,0.821,-0.146,0.066,0.084,0.001
1.000,0.750,0.902,-0.154,0.064,0.072,0.000
1.250,0.750,0.959,-0.149,0.054,0.061,0.000
1.500,0.750,0.996,-0.140,0.042,0.051,0.000
1.750,0.750,1.019,-0.127,0.031,0.044,0.000
2.000,0.750,1.034,-0.114,0.023,0.039,0.000
2.250,0.750,1.044,-0.101,0.017,0.035,0.000
2.500,0.750,1.050,-0.088,0.013,0.033,0.000
2.750,0.750,1.045,-0.074,0.011,0.031,0.000
3.000,0.750,1.041,-0.064,0.010,0.030,0.000
-3.000,1.000,1.109,0.060,0.004,0.029,0.000
-2.750,1.000,1.128,0.072,0.005,0.029,0.000
-2.500,1.000,1.134,0.086,0.007,0.030,0.000
-2.250,1.000,1.134,0.100,0.011,0.032,0.000
-2.000,1.000,1.131,0.116,0.016,0.035,0.000
-1.750,1.000,1.125,0.134,0.025,0.040,0.000
-1.500,1.000,1.116,0.152,0.037,0.048,0.000
-1.250,1.000,1.101,0.170,0.053,0.058,0.000
