# plane y_D = 0 | grid 29 x 25 (spacing 0.5 D in x_D, 0.25 D in z_D) | 725 of 725 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-2.000,0.000,0.000,0.000,0.000,0.345,0.000
-1.500,0.000,0.000,0.000,0.000,0.363,0.000
-1.000,0.000,0.000,0.000,0.000,0.445,0.003
-0.500,0.000,0.000,0.000,0.000,0.440,0.449
0.000,0.000,0.000,0.000,3.969,-0.624,1.000
0.500,0.000,0.000,0.000,0.000,-1.445,0.310
1.000,0.000,0.000,0.000,0.000,-0.777,0.011
1.500,0.000,0.000,0.000,0.000,-0.235,0.008
2.000,0.000,0.000,0.000,0.000,-0.074,0.006
2.500,0.000,0.000,0.000,0.000,-0.012,0.005
3.000,0.000,0.000,0.000,0.000,0.031,0.005
3.500,0.000,0.000,0.000,0.000,0.063,0.005
4.000,0.000,0.000,0.000,0.000,0.086,0.005
4.500,0.000,0.000,0.000,0.000,0.100,0.005
5.000,0.000,0.000,0.000,0.000,0.108,0.005
5.500,0.000,0.000,0.000,0.000,0.111,0.005
6.000,0.000,0.000,0.000,0.000,0.110,0.005
6.500,0.000,0.000,0.000,0.000,0.107,0.005
7.000,0.000,0.000,0.000,0.000,0.102,0.005
7.500,0.000,0.000,0.000,0.000,0.097,0.005
8.000,0.000,0.000,0.000,0.000,0.091,0.005
8.500,0.000,0.000,0.000,0.000,0.085,0.005
9.000,0.000,0.000,0.000,0.000,0.079,0.004
9.500,0.000,0.000,0.000,0.000,0.072,0.004
10.000,0.000,0.000,0.000,0.000,0.067,0.004
10.500,0.000,0.000,0.000,0.000,0.061,0.004
11.000,0.000,0.000,0.000,0.000,0.055,0.004
11.500,0.000,0.000,0.000,0.000,0.049,0.004
12.000,0.000,0.000,0.000,0.000,0.044,0.004
-2.000,0.250,0.693,0.001,0.031,0.352,0.000
-1.500,0.250,0.608,-0.003,0.023,0.368,0.000
-1.000,0.250,0.470,-0.004,-0.010,0.454,0.000
-0.500,0.250,0.073,-0.003,0.026,0.831,0.353
0.000,0.250,0.127,-0.000,3.931,-0.692,1.000
0.500,0.250,-0.396,-0.004,0.448,-1.287,0.208
1.000,0.250,-0.536,0.006,0.028,-0.742,0.022
1.500,0.250,-0.131,0.002,-0.025,-0.196,0.014
2.000,0.250,-0.006,-0.000,-0.018,-0.067,0.009
2.500,0.250,0.037,-0.001,-0.024,-0.011,0.007
3.000,0.250,0.075,-0.001,-0.033,0.028,0.006
3.500,0.250,0.119,-0.000,-0.039,0.059,0.006
4.000,0.250,0.166,-0.000,-0.042,0.081,0.005
4.500,0.250,0.210,0.000,-0.043,0.094,0.005
5.000,0.250,0.250,0.000,-0.041,0.102,0.005
5.500,0.250,0.284,0.000,-0.039,0.105,0.005
6.000,0.250,0.312,0.000,-0.036,0.105,0.005
6.500,0.250,0.334,0.000,-0.033,0.102,0.005
7.000,0.250,0.351,0.000,-0.030,0.098,0.005
7.500,0.250,0.364,0.000,-0.027,0.093,0.005
8.000,0.250,0.374,0.000,-0.024,0.087,0.005
8.500,0.250,0.381,0.000,-0.022,0.081,0.005
9.000,0.250,0.385,0.000,-0.020,0.076,0.005
9.500,0.250,0.388,0.000,-0.018,0.070,0.005
10.000,0.250,0.390,0.000,-0.016,0.064,0.004
10.500,0.250,0.390,0.000,-0.015,0.059,0.004
11.000,0.250,0.390,0.000,-0.013,0.053,0.004
11.500,0.250,0.389,0.000,-0.012,0.048,0.004
12.000,0.250,0.387,0.000,-0.011,0.042,0.004
-2.000,0.500,0.978,0.001,0.050,0.350,-0.000
-1.500,0.500,0.936,-0.000,0.042,0.381,0.000
-1.000,0.500,0.830,-0.002,0.001,0.508,0.000
-0.500,0.500,0.322,-0.002,-0.069,1.088,0.059
0.000,0.500,0.286,-0.001,3.835,-0.342,1.000
0.500,0.500,-0.456,-0.004,0.584,-1.515,0.108
1.000,0.500,-0.357,0.010,0.524,-0.859,0.064
1.500,0.500,0.120,0.007,0.326,-0.171,0.035
2.000,0.500,0.212,0.002,0.156,-0.024,0.018
2.500,0.500,0.231,-0.001,0.037,0.026,0.011
3.000,0.500,0.268,-0.002,-0.027,0.056,0.009
3.500,0.500,0.318,-0.002,-0.060,0.077,0.008
4.000,0.500,0.374,-0.001,-0.077,0.092,0.007
4.500,0.500,0.427,-0.001,-0.084,0.101,0.007
5.000,0.500,0.474,-0.001,-0.084,0.105,0.007
5.500,0.500,0.516,-0.001,-0.082,0.106,0.006
6.000,0.500,0.551,-0.001,-0.077,0.104,0.006
6.500,0.500,0.580,-0.001,-0.072,0.101,0.006
7.000,0.500,0.604,-0.000,-0.067,0.096,0.006
7.500,0.500,0.624,-0.000,-0.061,0.091,0.005
8.000,0.500,0.640,-0.000,-0.056,0.086,0.005
8.500,0.500,0.653,-0.000,-0.052,0.080,0.005
9.000,0.500,0.663,-0.000,-0.047,0.074,0.005
9.500,0.500,0.671,-0.000,-0.043,0.069,0.005
10.000,0.500,0.677,-0.000,-0.040,0.063,0.005
10.500,0.500,0.681,-0.000,-0.037,0.058,0.005
11.000,0.500,0.684,-0.000,-0.034,0.052,0.005
11.500,0.500,0.686,-0.000,-0.031,0.047,0.004
12.000,0.500,0.687,-0.000,-0.029,0.041,0.004
-2.000,0.750,1.045,0.001,0.051,0.348,0.000
-1.500,0.750,1.017,0.000,0.046,0.395,-0.000
-1.000,0.750,0.926,-0.000,0.023,0.555,0.000
-0.500,0.750,0.532,-0.001,0.031,1.099,0.005
0.000,0.750,0.489,-0.001,3.686,0.176,1.000
0.500,0.750,-0.351,-0.001,0.544,-1.451,0.124
1.000,0.750,-0.268,0.006,0.847,-1.294,0.121
1.500,0.750,0.166,0.006,0.795,-0.565,0.080
2.000,0.750,0.330,0.004,0.506,-0.113,0.041
2.500,0.750,0.392,0.001,0.256,0.065,0.021
3.000,0.750,0.443,-0.001,0.101,0.115,0.015
3.500,0.750,0.497,-0.002,0.015,0.128,0.012
4.000,0.750,0.550,-0.002,-0.032,0.131,0.010
4.500,0.750,0.598,-0.002,-0.057,0.130,0.009
5.000,0.750,0.640,-0.002,-0.069,0.126,0.009
5.500,0.750,0.677,-0.002,-0.074,0.121,0.008
6.000,0.750,0.708,-0.001,-0.074,0.115,0.007
6.500,0.750,0.734,-0.001,-0.073,0.108,0.007
7.000,0.750,0.756,-0.001,-0.071,0.102,0.007
7.500,0.750,0.775,-0.001,-0.067,0.095,0.006
8.000,0.750,0.790,-0.001,-0.064,0.088,0.006
8.500,0.750,0.803,-0.001,-0.060,0.082,0.006
9.000,0.750,0.815,-0.001,-0.057,0.075,0.006
9.500,0.750,0.824,-0.001,-0.054,0.069,0.005
10.000,0.750,0.832,-0.001,-0.050,0.064,0.005
10.500,0.750,0.838,-0.001,-0.047,0.058,0.005
11.000,0.750,0.844,-0.001,-0.045,0.052,0.005
11.500,0.750,0.848,-0.001,-0.042,0.047,0.005
12.000,0.750,0.852,-0.001,-0.040,0.041,0.005
